VaR,ES
1.773127356,2.181442509
1.773127356,2.181442509
1.773127356,2.181442509
1.773127356,2.181442509
1.773127356,2.181442509
1.773127356,2.181442509
1.773127356,2.181442509
1.773127356,2.181442509
1.775101584,2.189612464
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.776773315,2.19178306
1.805214735,2.243985799
1.805214735,2.243985799
1.817952786,2.254508825
1.817952786,2.254508825
1.817952786,2.254508825
1.820154599,2.255115517
1.820154599,2.255115517
1.820154599,2.255115517
1.820154599,2.255115517
1.820154599,2.255115517
1.81847685,2.249613203
1.815764622,2.241852553
1.815764622,2.241852553
1.815764622,2.241852553
1.830416643,2.257081052
1.830416643,2.257081052
1.830416643,2.257081052
1.830416643,2.257081052
1.830416643,2.257081052
1.830416643,2.257081052
1.830416643,2.257081052
1.830416643,2.257081052
1.844407503,2.269918726
1.844407503,2.269918726
1.844407503,2.269918726
1.844407503,2.269918726
1.844407503,2.269918726
1.844407503,2.269918726
1.844407503,2.269918726
1.831626159,2.260524587
1.831626159,2.260524587
1.831626159,2.260524587
1.831626159,2.260524587
1.831626159,2.260524587
1.846044802,2.274557043
1.846044802,2.274557043
1.846044802,2.274557043
1.843227465,2.265685135
1.843227465,2.265685135
1.843227465,2.265685135
1.846615985,2.276178645
1.846615985,2.276178645
1.846615985,2.276178645
1.846615985,2.276178645
1.846615985,2.276178645
1.832801522,2.263878782
1.847426857,2.278483838
1.847426857,2.278483838
1.847426857,2.278483838
1.847426857,2.278483838
1.847426857,2.278483838
1.847426857,2.278483838
1.847426857,2.278483838
1.847426857,2.278483838
1.847426857,2.278483838
1.847426857,2.278483838
1.847426857,2.278483838
1.847664,2.278244988
1.86711005,2.29619765
1.86711005,2.29619765
