VaR,ES
4.546223867,2.880787485
4.546223867,2.880787485
4.546223867,2.880787485
4.546223867,2.880787485
4.546223867,2.880787485
4.596531967,2.908400413
4.596531967,2.908400413
4.646858789,2.937906212
4.646858789,2.937906212
4.646858789,2.937906212
4.646858789,2.937906212
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.629636845,2.931908879
4.659025057,2.944609419
4.659025057,2.944609419
4.659025057,2.944609419
4.686176326,2.962884709
4.686176326,2.962884709
4.686176326,2.962884709
4.686176326,2.962884709
4.686176326,2.962884709
4.703403179,2.969171412
4.703403179,2.969171412
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.657713394,2.947256568
4.704079783,2.969547253
4.704079783,2.969547253
4.704079783,2.969547253
4.704079783,2.969547253
4.704079783,2.969547253
4.704079783,2.969547253
4.704079783,2.969547253
4.704079783,2.969547253
4.704079783,2.969547253
4.704079783,2.969547253
4.704079783,2.969547253
4.704079783,2.969547253
4.704079783,2.969547253
4.704079783,2.969547253
4.704079783,2.969547253
4.704079783,2.969547253
4.704079783,2.969547253
4.704079783,2.969547253
4.657621199,2.94720606
4.657621199,2.94720606
4.657621199,2.94720606
4.609968496,2.924819553
4.609968496,2.924819553
4.645084943,2.940345036
4.645084943,2.940345036
4.645084943,2.940345036
4.714053793,2.981528568
4.714053793,2.981528568
4.714053793,2.981528568
4.714053793,2.981528568
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.716387933,2.985549331
4.72865866,2.989559339
4.72865866,2.989559339
4.72865866,2.989559339
4.72865866,2.989559339
4.72865866,2.989559339
4.72865866,2.989559339
4.72865866,2.989559339
4.72865866,2.989559339
4.739956649,2.992606866
4.739956649,2.992606866
4.739956649,2.992606866
4.739956649,2.992606866
4.725323819,2.987723993
4.746586211,3.002096983
4.709780708,2.979182395
4.709780708,2.979182395
4.829442277,3.047901337
4.961729268,3.126287355
4.961729268,3.126287355
4.961729268,3.126287355
5.126691949,3.22157784
5.126691949,3.22157784
5.126691949,3.22157784
