DATE,DTP20J28
2019/12/2,0.246
2019/12/3,0.133
2019/12/4,0.158
2019/12/5,0.173
2019/12/6,0.187
2019/12/9,0.184
2019/12/10,0.18
2019/12/11,0.14
2019/12/12,0.227
2019/12/13,0.154
2019/12/16,0.197
2019/12/17,0.179
2019/12/18,0.197
2019/12/19,0.175
2019/12/20,0.184
2019/12/23,0.218
2019/12/24,0.188
2019/12/26,0.193
2019/12/27,0.18
2019/12/30,0.189
2019/12/31,0.183
2020/1/2,0.123
2020/1/3,0.056
2020/1/6,0.085
2020/1/7,0.118
2020/1/8,0.146
2020/1/9,0.15
2020/1/10,0.112
2020/1/13,0.113
2020/1/14,0.085
2020/1/15,0.065
2020/1/16,0.091
2020/1/17,0.111
2020/1/21,0.054
2020/1/22,0.068
2020/1/23,0.042
2020/1/24,0.001
2020/1/27,-0.026
2020/1/28,-0.012
2020/1/29,-0.049
2020/1/30,-0.091
2020/1/31,-0.127
2020/2/3,-0.103
2020/2/4,-0.039
2020/2/5,-0.015
2020/2/6,-0.03
2020/2/7,-0.082
2020/2/10,-0.115
2020/2/11,-0.071
2020/2/12,-0.059
2020/2/13,-0.078
2020/2/14,-0.098
2020/2/18,-0.121
2020/2/19,-0.107
2020/2/20,-0.127
2020/2/21,-0.168
2020/2/24,-0.227
2020/2/25,-0.219
2020/2/26,-0.232
2020/2/27,-0.231
2020/2/28,-0.291
2020/3/2,-0.316
2020/3/3,-0.422
2020/3/4,-0.446
2020/3/5,-0.459
2020/3/6,-0.498
2020/3/9,-0.353
2020/3/10,-0.054
2020/3/11,0.051
2020/3/12,0.151
2020/3/13,0.298
2020/3/16,0.263
2020/3/17,0.614
2020/3/18,0.871
2020/3/19,0.931
2020/3/20,0.594
2020/3/23,0.21
2020/3/24,-0.002
2020/3/25,0
2020/3/26,-0.119
2020/3/27,-0.08
2020/3/30,-0.122
2020/3/31,-0.019
2020/4/1,-0.139
2020/4/2,-0.222
2020/4/3,-0.306
2020/4/6,-0.314
2020/4/7,-0.281
2020/4/8,-0.29
2020/4/9,-0.359
2020/4/13,-0.371
2020/4/14,-0.403
2020/4/15,-0.449
2020/4/16,-0.307
2020/4/17,-0.243
